Which of the following options will save edits made to a record?,Export,Deploy,View,Save
The Audit Management solution area in Archer focuses on which primary activity?,Conducting employee performance reviews,Performing IT hardware audits,Managing internal and external audit processes and tracking findings,Scanning for network vulnerabilities,
The Activity icon in the top bar shows:,Full audit logs of all user activity,A list of system-integrated notifications,"The user's 10 most recently added, edited, or viewed records",All records added in the last hour,
Archer's Global Search allows users to search across:,Both Archer and the Internet,Both Archer and the user's intranet,Only data within Archer that has been updated in the past 12 months,All data within Archer that the use has access to,
"Which Archer Use Case allows an organization to consolidate information from multiple regulatory bodies into a single, searchable repository?�",Issues Management,Regulatory and Corporate Compliance management,Audit Management,Third Party Governance,
"Reymundo wants to create a report that allows the user to group the results by a specific field. In the Visualization Display Options, he should select:",Summary,Hierarchical,Row,Flat,
JavaScript Transporters are a type of:,API,Data Publication,Data Feed,Notification,
Which of the following best describes a record in Archer?,A user access setting,A visual dashboard component,An individual data entry in an application,A list of configuration files,
Which of the following is a key feature of Archer Evolv Risk?,Integration of risk data with real-time security data,managing system software updates,Creating and managing marketing campaigns,Generating financial reports only,
A workspace is an organized display of which of the following?,Dashboards,Applications,User data,Files,
"In Archer's Classic UI, the History Log field can be displayed as a grid or as a simple link. How does the History log behave in the new SaaS UI?",All of these behaviours are true in the SaaS UI,Changes in the log can be clicked to bring attention to the fields that were changed,"Users can filter the changes made by data, user(s), and/or fields",It appears as a change Log in the right panel,
Archer records that leverage Advanced Workflow will have an interactive feature that non-Advanced Workflow records do not have. Which of the following best describes this addition to the record?,"A Remove icon appears bear the top of the record. Users can either unsubscribe from the workflow for this record, or delete the record entirely",An Actions dropdown menu appears near the top of the record. Users can use this dropdown to advance the record to the next stage of the workflow,An email icon appears near the top of the record. Users can use this icon to quickly notify other users that the record is read to move to the next stage of the workflow,A copy icon appears near the top of the record. Users can use the Copy functionality to replicate the record and send it to multiple users all within the current stage of the workflow,
Anca hasn�t seen a specific quarterly report email and wants to see whether she�s subscribed to that particular email notification. Which menu should she access to determine whether she is subscribed to that email?,User Name Menu > Preferences > Data Import History,User Name Menu > Discussion Forum Preferences,User Name  Menu > Help Home,User Name Menu> Preferences > Email Subscription,
"If a user selects the Email Record (Share > Email) option, this feature will:",Open a new email in the user's email client with a link top the record,Sign the recipient up for the email notifications,Send the recipient an email that a record is available for view,Send the recipient a downloadable copy of the record to their email,
"Doug wants to create a report that can include one or more fields from a cross-referenced application. On the search page, Doug should choose:",Add New Relationship,Add New Filter,Statistics Mode,Return All Results,
Beatrice wants to remind her team when quarterly risk reports are due within 7 days. Her best course of action would be to:,Create a task for each team member each quarter and assign them to the task,Create a scheduled notification based on the risk report due date, Create an external document with a running list of upcoming due dates and embed It into a team iView,Create an embedded video on the team dashboard so team members can remind each other of due dates,
What is the value of Archer Evolv Compliance?,Powering your regulatory change program with AI,Building a centralized global library of both regulatory and non-regulatory obligations,All of these answers are correct,Establishing controls aligned with business requirements,
"Archer offers one Use Case that is seen in nearly every Solution Area. This Use Case helps organizations document events (Findings) that need to resolved, often for compliance reasons. What is the name of this often-shared Use Case?",Workflow Resolution,Issues Management,Problems Solved and Noted (PSAN),Remediation Activities,
Saving a search as a report:,Allows you to enter a description of the report for later reference,All of these statements are true,"Saves the search settings, but does not save the exact data set returned in the search","Allows you to designate the search as Personal, Shared or Global",
When an end user logs in to Archer their home view is of a(n):,Calendar,Analytics view,Data Feed,Dashboard,
"Srishti and Jamie both work as audit managers at XYZ Corporation. Srishti notices that Jamie has additional reports showing in her Audit Manager dashboard, and Srishti does not have access to them. What might be the cause of this?","Srishti was hired after Jamie, so any records created before her first day of employment would not show up",Srishti has not added the addition Audit Manager iViews or widgets to her dashboard,Srishti and Jame do not have the same access rights,Srishti's account has been hacked,
Which of the following is not found in the Archer menu bar?,Map display controls,Global search field,Help icon,Activity icon,
Record fields marked with red asterisks are:,Calculated fields,Data-driven fields,Required fields,Cross-referenced fields,
Nate�s primary task in Archer is to log findings as a submitter. Which Archer workspace option�would allow him to quickly create a new finding without having to navigate to the application every time?,Quick Links,Data Feed,Advanced Workflow,Advanced Search,
"After performing a global search, the user may opt to transfer the search to:",Any of these,A specific database,An external web browser,A specific application,
A report can be exported in which file format(s)?,Any of these answers,CSV,Excel,PDF,
"When a user creates a Scheduled Report Distribution, Archer will run the report:",When pushed by  the report creator,Automatically,When pushed by an administrator,When a user requests the report,
Chenoa opened a record and noticed a field was uneditable. This could possibly be because:,The field is a calculated field,All of these are possible reasons,The field is private,The field is marked Read-Only by a data-driven event,
Laszlo transferred from the Risk Analysis team to the Business Resiliency team. He needs to be able to access records and Business Resiliency plans in Archer. Laszlo should:,All of these are correct,Ask his Archer administrator to assign him to the appropriate groups and access roles for his new position,Update his user profile and change his password,Contact Human Resources,
"When creating a new record, you may encounter some fields marked as required, but there is no mechanism for you to manually enter data in these fields. What is the most likely reason for this?",These fields can only be populated by an administrator,These fields only accept data entry from a scheduled data feed,These fields are calculated and will be populated once the record is saved,These are private fields and you have not been given access to view the data within,
Groups of pre-configured Applications that are ready to use immediately after deployment of Archer are called:,On-Demand Applications,Proprietary Applications,Default Cases,Use Cases,
"If a user ran multiple searches to verify the existence of specific data within Archer and they realized the data they were looking for did not exist, which of the following actions should the user take to add a new record into Archer? (Assume the user has access rights to create records for this scenario.)",Click the Modify (Classic UI) or edit Search (SaaS) icon to modify Archer's structure,Click the Email icon to send an email to the administrator and ask for the data to be added,Adjust the current search criteria to expand the search to include records outside of Archer,Click the New Record icon (Classic UI) or Add New Record (Saas) to create a new record in Archer,
Access to the Archer platform is controlled by:,Inclusion of a person in stage within Advanced Workflow,Human Resources,User Accounts (username and password),Selection of a person's name in an Assigned To field,
All system users automatically belong to a built-in group named ______________,Enterprise Management,All ,Basic User Parameter,Everyone,
"If a user wished to access all of the available records in a specific application, the correct navigation path would be:",Workspace > Application > Record,Workspace > Solution > Application,None of these answers are correct,Workspace > Dashboard > iView,
Steven is looking at a returned set of search results in the Classic UI. He sees a small pencil icon next to a field name in one of the columns of data. What does this pencil icon signify?,The field with a pencil icon is still sitting in Draft status,The data is this field can be emailed separately from the rest of the data set,Steven can edit the field for various records right from within the search results themselves,Steven is a system administrator,
What is the primary purpose of Archer Evolv?,To conduct marketing analytics,To manage employee payroll,To provide an end-to-end risk management and compliance framework,To manage inventory levels in real-time,
"In the new SaaS UI, what does the Attention feature in the right panel do?",It draws the user's attention to comments left in a questionnaire that needs to be addressed,It draws the user's attention to new features in Archer,It draws the user's attention to fields that are empty,It draws the admin's attention to the faulted data feeds,
Archer�s primary purpose is:,To support risk management and compliance activities ,To create social media campaigns,To manage IT hardware lifecycles,To generate financial reports,
Archer Solution Areas contain groups of related:,Files ,Use Cases,Records,Problems,
Clicking on the area representing results within a chart will open:,An enlarged version of the chart,A list of related charts,A list of cross-referenced fields,A list of records associated with that chart statistic,
"If a user clicks on a linked record ID, the link will take the user to:",The record itself,Any available attachments to the record,A diagram showing all related records,The linked application,
